sample,method,threshold,sig,p_value
DO224680,QP,0.2,COSMIC_3,1.08E-162
DO224684,QP,0,COSMIC_3,1.67E-165
DO224684,QP,0.01,COSMIC_3,1.67E-165
DO224684,QP,0.05,COSMIC_3,1.67E-165
DO224684,QP,0.1,COSMIC_3,1.67E-165
DO224684,QP,0.2,COSMIC_3,1.19E-158
DO224687,QP,0,COSMIC_3,1.67E-165
DO224687,QP,0.01,COSMIC_3,1.67E-165
DO224687,QP,0.05,COSMIC_3,1.67E-165
DO224687,QP,0.1,COSMIC_3,1.67E-165
DO224687,QP,0.2,COSMIC_3,2.51E-165
DO224693,QP,0,COSMIC_3,1.67E-165
DO224693,QP,0.01,COSMIC_3,1.67E-165
DO224693,QP,0.05,COSMIC_3,1.67E-165
DO224693,QP,0.1,COSMIC_3,1.67E-165
DO224693,QP,0.2,COSMIC_3,1.67E-165
DO224697,QP,0,COSMIC_3,1.67E-165
DO224697,QP,0.01,COSMIC_3,1.67E-165
DO224697,QP,0.05,COSMIC_3,1.67E-165
DO224697,QP,0.1,COSMIC_3,1.67E-165
DO224697,QP,0.2,COSMIC_3,1.67E-165
DO224700,QP,0,COSMIC_3,1.67E-165
DO224700,QP,0.01,COSMIC_3,1.67E-165
DO224700,QP,0.05,COSMIC_3,1.67E-165
DO224700,QP,0.1,COSMIC_3,1.67E-165
DO224700,QP,0.2,COSMIC_3,1.67E-165
DO224704,QP,0,COSMIC_3,1.67E-165
DO224704,QP,0.01,COSMIC_3,1.67E-165
DO224704,QP,0.05,COSMIC_3,1.67E-165
DO224704,QP,0.1,COSMIC_3,1.67E-165
DO224704,QP,0.2,COSMIC_3,8.99E-165
DO224709,QP,0,COSMIC_3,1.67E-165
DO224709,QP,0.01,COSMIC_3,1.67E-165
DO224709,QP,0.05,COSMIC_3,1.67E-165
DO224709,QP,0.1,COSMIC_3,1.67E-165
DO224709,QP,0.2,COSMIC_3,1.67E-165
DO224713,QP,0,COSMIC_3,1.67E-165
DO224713,QP,0.01,COSMIC_3,1.67E-165
DO224713,QP,0.05,COSMIC_3,1.67E-165
DO224713,QP,0.1,COSMIC_3,1.67E-165
DO224713,QP,0.2,COSMIC_3,2.34E-76
DO224717,QP,0,COSMIC_3,1.67E-165
DO224717,QP,0.01,COSMIC_3,1.67E-165
DO224717,QP,0.05,COSMIC_3,1.67E-165
DO224717,QP,0.1,COSMIC_3,1.67E-165
DO224717,QP,0.2,COSMIC_3,1.18E-20
DO224722,QP,0,COSMIC_3,2.19E-22
DO224722,QP,0.01,COSMIC_3,1
DO224722,QP,0.05,COSMIC_3,1
DO224722,QP,0.1,COSMIC_3,1
DO224722,QP,0.2,COSMIC_3,1
DO224728,QP,0,COSMIC_3,1.22E-47
DO224728,QP,0.01,COSMIC_3,1
DO224728,QP,0.05,COSMIC_3,1
DO224728,QP,0.1,COSMIC_3,1
DO224728,QP,0.2,COSMIC_3,1
DO224730,QP,0,COSMIC_3,1.67E-165
DO224730,QP,0.01,COSMIC_3,1.67E-165
DO224730,QP,0.05,COSMIC_3,1.67E-165
DO224730,QP,0.1,COSMIC_3,1.67E-165
DO224730,QP,0.2,COSMIC_3,1.67E-165
DO224732,QP,0,COSMIC_3,1.67E-165
DO224732,QP,0.01,COSMIC_3,1.71E-165
DO224732,QP,0.05,COSMIC_3,1
DO224732,QP,0.1,COSMIC_3,1
DO224732,QP,0.2,COSMIC_3,1
DO224737,QP,0,COSMIC_3,3.13E-155
DO224737,QP,0.01,COSMIC_3,8.30E-148
DO224737,QP,0.05,COSMIC_3,0.798866075
DO224737,QP,0.1,COSMIC_3,1
DO224737,QP,0.2,COSMIC_3,1
DO224741,QP,0,COSMIC_3,3.28E-94
DO224741,QP,0.01,COSMIC_3,1.08E-08
DO224741,QP,0.05,COSMIC_3,1
DO224741,QP,0.1,COSMIC_3,1
DO224741,QP,0.2,COSMIC_3,1
DO224746,QP,0,COSMIC_3,1.67E-165
DO224746,QP,0.01,COSMIC_3,1.67E-165
DO224746,QP,0.05,COSMIC_3,1.67E-165
DO224746,QP,0.1,COSMIC_3,1.67E-165
DO224746,QP,0.2,COSMIC_3,1.67E-165
DO224751,QP,0,COSMIC_3,1.67E-165
DO224751,QP,0.01,COSMIC_3,1.67E-165
DO224751,QP,0.05,COSMIC_3,1.67E-165
DO224751,QP,0.1,COSMIC_3,1.67E-165
DO224751,QP,0.2,COSMIC_3,1.67E-165
DO224755,QP,0,COSMIC_3,1.67E-165
DO224755,QP,0.01,COSMIC_3,1.67E-165
DO224755,QP,0.05,COSMIC_3,1.67E-165
DO224755,QP,0.1,COSMIC_3,1.67E-165
DO224755,QP,0.2,COSMIC_3,1.67E-165
DO224763,QP,0,COSMIC_3,1.67E-165
DO224763,QP,0.01,COSMIC_3,1.67E-165
DO224763,QP,0.05,COSMIC_3,1.67E-165
DO224763,QP,0.1,COSMIC_3,1.67E-165
DO224763,QP,0.2,COSMIC_3,1.67E-165
DO224765,QP,0,COSMIC_3,1.67E-165
DO224765,QP,0.01,COSMIC_3,1.67E-165
DO224765,QP,0.05,COSMIC_3,1.67E-165
DO224765,QP,0.1,COSMIC_3,1.67E-165
DO224765,QP,0.2,COSMIC_3,1.67E-165
DO224768,QP,0,COSMIC_3,1
DO224768,QP,0.01,COSMIC_3,1
DO224768,QP,0.05,COSMIC_3,1
DO224768,QP,0.1,COSMIC_3,1
DO224768,QP,0.2,COSMIC_3,1
DO224781,QP,0,COSMIC_3,1.67E-165
DO224781,QP,0.01,COSMIC_3,1.67E-165
DO224781,QP,0.05,COSMIC_3,1.67E-165
DO224781,QP,0.1,COSMIC_3,1.67E-165
DO224781,QP,0.2,COSMIC_3,1.67E-165
DO224788,QP,0,COSMIC_3,6.96E-86
DO224788,QP,0.01,COSMIC_3,0.014137843
DO224788,QP,0.05,COSMIC_3,1
DO224788,QP,0.1,COSMIC_3,1
DO224788,QP,0.2,COSMIC_3,1
DO224793,QP,0,COSMIC_3,1.67E-165
DO224793,QP,0.01,COSMIC_3,1.67E-165
DO224793,QP,0.05,COSMIC_3,1.67E-165
DO224793,QP,0.1,COSMIC_3,1.67E-165
DO224793,QP,0.2,COSMIC_3,1.67E-165
DO224798,QP,0,COSMIC_3,6.13E-161
DO224798,QP,0.01,COSMIC_3,5.70E-162
DO224798,QP,0.05,COSMIC_3,2.46E-42
DO224798,QP,0.1,COSMIC_3,1
DO224798,QP,0.2,COSMIC_3,1
DO224802,QP,0,COSMIC_3,1.67E-165
DO224802,QP,0.01,COSMIC_3,1.67E-165
DO224802,QP,0.05,COSMIC_3,1.67E-165
DO224802,QP,0.1,COSMIC_3,1.67E-165
DO224802,QP,0.2,COSMIC_3,1.67E-165
DO224805,QP,0,COSMIC_3,0.000241201
DO224805,QP,0.01,COSMIC_3,1
DO224805,QP,0.05,COSMIC_3,1
DO224805,QP,0.1,COSMIC_3,1
DO224805,QP,0.2,COSMIC_3,1
DO224807,QP,0,COSMIC_3,7.33E-157
DO224807,QP,0.01,COSMIC_3,1.77E-154
DO224807,QP,0.05,COSMIC_3,1.85E-06
DO224807,QP,0.1,COSMIC_3,1
DO224807,QP,0.2,COSMIC_3,1
DO224811,QP,0,COSMIC_3,2.98E-154
DO224811,QP,0.01,COSMIC_3,2.95E-155
DO224811,QP,0.05,COSMIC_3,1.07E-37
DO224811,QP,0.1,COSMIC_3,1
DO224811,QP,0.2,COSMIC_3,1
DO224815,QP,0,COSMIC_3,3.49E-71
DO224815,QP,0.01,COSMIC_3,0.998629336
DO224815,QP,0.05,COSMIC_3,1
DO224815,QP,0.1,COSMIC_3,1
DO224815,QP,0.2,COSMIC_3,1
DO224818,QP,0,COSMIC_3,1.67E-165
DO224818,QP,0.01,COSMIC_3,1.67E-165
DO224818,QP,0.05,COSMIC_3,1.67E-165
DO224818,QP,0.1,COSMIC_3,1.67E-165
DO224818,QP,0.2,COSMIC_3,3.43E-60
DO224824,QP,0,COSMIC_3,1.30E-160
DO224824,QP,0.01,COSMIC_3,9.05E-164
DO224824,QP,0.05,COSMIC_3,9.25E-125
DO224824,QP,0.1,COSMIC_3,0.000478121
DO224824,QP,0.2,COSMIC_3,1
DO224828,QP,0,COSMIC_3,2.04E-131
DO224828,QP,0.01,COSMIC_3,1.12E-99
DO224828,QP,0.05,COSMIC_3,1
DO224828,QP,0.1,COSMIC_3,1
DO224828,QP,0.2,COSMIC_3,1
DO224833,QP,0,COSMIC_3,0.000363257
DO224833,QP,0.01,COSMIC_3,1
DO224833,QP,0.05,COSMIC_3,1
DO224833,QP,0.1,COSMIC_3,1
DO224833,QP,0.2,COSMIC_3,1
DO224835,QP,0,COSMIC_3,3.30E-102
DO224835,QP,0.01,COSMIC_3,2.16E-16
DO224835,QP,0.05,COSMIC_3,1
DO224835,QP,0.1,COSMIC_3,1
DO224835,QP,0.2,COSMIC_3,1
DO224839,QP,0,COSMIC_3,1.67E-165
DO224839,QP,0.01,COSMIC_3,1.67E-165
DO224839,QP,0.05,COSMIC_3,1.67E-165
DO224839,QP,0.1,COSMIC_3,1.49E-160
DO224839,QP,0.2,COSMIC_3,1
DO224841,QP,0,COSMIC_3,1.67E-165
DO224841,QP,0.01,COSMIC_3,1.67E-165
DO224841,QP,0.05,COSMIC_3,1.67E-165
DO224841,QP,0.1,COSMIC_3,1.30E-162
DO224841,QP,0.2,COSMIC_3,1
DO224844,QP,0,COSMIC_3,1.67E-165
DO224844,QP,0.01,COSMIC_3,1.67E-165
DO224844,QP,0.05,COSMIC_3,1.67E-165
DO224844,QP,0.1,COSMIC_3,1.67E-165
DO224844,QP,0.2,COSMIC_3,1.67E-165
DO224847,QP,0,COSMIC_3,3.20E-163
DO224847,QP,0.01,COSMIC_3,5.36E-152
DO224847,QP,0.05,COSMIC_3,1
DO224847,QP,0.1,COSMIC_3,1
DO224847,QP,0.2,COSMIC_3,1
DO224851,QP,0,COSMIC_3,1.67E-165
DO224851,QP,0.01,COSMIC_3,1.67E-165
DO224851,QP,0.05,COSMIC_3,1.67E-165
DO224851,QP,0.1,COSMIC_3,1.67E-165
DO224851,QP,0.2,COSMIC_3,1.67E-165
DO224852,QP,0,COSMIC_3,1.67E-165
DO224852,QP,0.01,COSMIC_3,1.67E-165
DO224852,QP,0.05,COSMIC_3,1.67E-165
DO224852,QP,0.1,COSMIC_3,1.67E-165
DO224852,QP,0.2,COSMIC_3,1.67E-165
DO224855,QP,0,COSMIC_3,1.67E-165
DO224855,QP,0.01,COSMIC_3,1.67E-165
DO224855,QP,0.05,COSMIC_3,1.67E-165
DO224855,QP,0.1,COSMIC_3,1.67E-165
DO224855,QP,0.2,COSMIC_3,1.67E-165
DO224860,QP,0,COSMIC_3,1.67E-165
DO224860,QP,0.01,COSMIC_3,1.67E-165
DO224860,QP,0.05,COSMIC_3,1.67E-165
DO224860,QP,0.1,COSMIC_3,1.67E-165
DO224860,QP,0.2,COSMIC_3,1.67E-165
DO224865,QP,0,COSMIC_3,1.53E-125
DO224865,QP,0.01,COSMIC_3,0.048332284
DO224865,QP,0.05,COSMIC_3,1
DO224865,QP,0.1,COSMIC_3,1
DO224865,QP,0.2,COSMIC_3,1
DO224869,QP,0,COSMIC_3,1.67E-165
DO224869,QP,0.01,COSMIC_3,1.67E-165
DO224869,QP,0.05,COSMIC_3,1.67E-165
DO224869,QP,0.1,COSMIC_3,1.67E-165
DO224869,QP,0.2,COSMIC_3,1.67E-165
DO224874,QP,0,COSMIC_3,1.96E-83
DO224874,QP,0.01,COSMIC_3,6.77E-06
DO224874,QP,0.05,COSMIC_3,1
DO224874,QP,0.1,COSMIC_3,1
DO224874,QP,0.2,COSMIC_3,1
DO224876,QP,0,COSMIC_3,1.67E-165
DO224876,QP,0.01,COSMIC_3,1.67E-165
DO224876,QP,0.05,COSMIC_3,1.67E-165
DO224876,QP,0.1,COSMIC_3,1.67E-165
DO224876,QP,0.2,COSMIC_3,1.67E-165
DO224879,QP,0,COSMIC_3,1.67E-165
DO224879,QP,0.01,COSMIC_3,1.67E-165
DO224879,QP,0.05,COSMIC_3,1.67E-165
DO224879,QP,0.1,COSMIC_3,1.67E-165
DO224879,QP,0.2,COSMIC_3,1.84E-165
DO224882,QP,0,COSMIC_3,0.185546685
DO224882,QP,0.01,COSMIC_3,1
DO224882,QP,0.05,COSMIC_3,1
DO224882,QP,0.1,COSMIC_3,1
DO224882,QP,0.2,COSMIC_3,1
DO224885,QP,0,COSMIC_3,1.67E-165
DO224885,QP,0.01,COSMIC_3,1.67E-165
DO224885,QP,0.05,COSMIC_3,1.67E-165
DO224885,QP,0.1,COSMIC_3,1.67E-165
DO224885,QP,0.2,COSMIC_3,1.67E-165
DO224887,QP,0,COSMIC_3,3.29E-156
DO224887,QP,0.01,COSMIC_3,3.59E-157
DO224887,QP,0.05,COSMIC_3,3.31E-33
DO224887,QP,0.1,COSMIC_3,1
DO224887,QP,0.2,COSMIC_3,1
DO224892,QP,0,COSMIC_3,1.67E-165
DO224892,QP,0.01,COSMIC_3,1.67E-165
DO224892,QP,0.05,COSMIC_3,1.67E-165
DO224892,QP,0.1,COSMIC_3,8.37E-129
DO224892,QP,0.2,COSMIC_3,1
DO224895,QP,0,COSMIC_3,1.67E-165
DO224895,QP,0.01,COSMIC_3,1.67E-165
DO224895,QP,0.05,COSMIC_3,1.67E-165
DO224895,QP,0.1,COSMIC_3,1.67E-165
DO224895,QP,0.2,COSMIC_3,1.67E-165
DO224897,QP,0,COSMIC_3,1.67E-165
DO224897,QP,0.01,COSMIC_3,1.67E-165
DO224897,QP,0.05,COSMIC_3,1.67E-165
DO224897,QP,0.1,COSMIC_3,1.67E-165
DO224897,QP,0.2,COSMIC_3,1.67E-165
DO224900,QP,0,COSMIC_3,1.67E-165
DO224900,QP,0.01,COSMIC_3,1.67E-165
DO224900,QP,0.05,COSMIC_3,1.67E-165
DO224900,QP,0.1,COSMIC_3,1.67E-165
DO224900,QP,0.2,COSMIC_3,1.67E-165
DO224904,QP,0,COSMIC_3,1.67E-165
DO224904,QP,0.01,COSMIC_3,1.67E-165
DO224904,QP,0.05,COSMIC_3,1.67E-165
DO224904,QP,0.1,COSMIC_3,1.67E-165
DO224904,QP,0.2,COSMIC_3,1.67E-165
DO224905,QP,0,COSMIC_3,1.67E-165
DO224905,QP,0.01,COSMIC_3,1.67E-165
DO224905,QP,0.05,COSMIC_3,1.67E-165
DO224905,QP,0.1,COSMIC_3,1.67E-165
DO224905,QP,0.2,COSMIC_3,1
DO224910,QP,0,COSMIC_3,1.67E-165
DO224910,QP,0.01,COSMIC_3,1.67E-165
DO224910,QP,0.05,COSMIC_3,1.67E-165
DO224910,QP,0.1,COSMIC_3,1.95E-165
DO224910,QP,0.2,COSMIC_3,0.94085294
DO224911,QP,0,COSMIC_3,1.67E-165
DO224911,QP,0.01,COSMIC_3,1.67E-165
DO224911,QP,0.05,COSMIC_3,1.67E-165
DO224911,QP,0.1,COSMIC_3,1.43E-164
DO224911,QP,0.2,COSMIC_3,1
DO224914,QP,0,COSMIC_3,1.67E-165
DO224914,QP,0.01,COSMIC_3,1.67E-165
DO224914,QP,0.05,COSMIC_3,1.67E-165
DO224914,QP,0.1,COSMIC_3,1.67E-165
DO224914,QP,0.2,COSMIC_3,1.67E-165
DO224917,QP,0,COSMIC_3,1.67E-165
DO224917,QP,0.01,COSMIC_3,1.67E-165
DO224917,QP,0.05,COSMIC_3,1.67E-165
DO224917,QP,0.1,COSMIC_3,1.67E-165
DO224917,QP,0.2,COSMIC_3,2.29E-161
DO224920,QP,0,COSMIC_3,2.31E-164
DO224920,QP,0.01,COSMIC_3,1.15E-164
DO224920,QP,0.05,COSMIC_3,2.82E-57
DO224920,QP,0.1,COSMIC_3,1
DO224920,QP,0.2,COSMIC_3,1
DO224925,QP,0,COSMIC_3,6.73E-140
DO224925,QP,0.01,COSMIC_3,1.32E-95
DO224925,QP,0.05,COSMIC_3,1
DO224925,QP,0.1,COSMIC_3,1
DO224925,QP,0.2,COSMIC_3,1
DO224928,QP,0,COSMIC_3,6.62E-132
DO224928,QP,0.01,COSMIC_3,5.79E-104
DO224928,QP,0.05,COSMIC_3,0.997526813
DO224928,QP,0.1,COSMIC_3,1
DO224928,QP,0.2,COSMIC_3,1
DO224930,QP,0,COSMIC_3,6.75E-69
DO224930,QP,0.01,COSMIC_3,0.999999314
DO224930,QP,0.05,COSMIC_3,1
DO224930,QP,0.1,COSMIC_3,1
DO224930,QP,0.2,COSMIC_3,1
DO224934,QP,0,COSMIC_3,4.89E-164
DO224934,QP,0.01,COSMIC_3,9.07E-165
DO224934,QP,0.05,COSMIC_3,4.99E-38
DO224934,QP,0.1,COSMIC_3,1
DO224934,QP,0.2,COSMIC_3,1
DO224938,QP,0,COSMIC_3,1.67E-165
DO224938,QP,0.01,COSMIC_3,1.67E-165
DO224938,QP,0.05,COSMIC_3,1.67E-165
DO224938,QP,0.1,COSMIC_3,1.67E-165
DO224938,QP,0.2,COSMIC_3,1.67E-165
DO224942,QP,0,COSMIC_3,1.67E-165
DO224942,QP,0.01,COSMIC_3,1.67E-165
DO224942,QP,0.05,COSMIC_3,1.67E-165
DO224942,QP,0.1,COSMIC_3,1.67E-165
DO224942,QP,0.2,COSMIC_3,1.67E-165
DO224944,QP,0,COSMIC_3,8.76E-153
DO224944,QP,0.01,COSMIC_3,3.91E-148
DO224944,QP,0.05,COSMIC_3,0.008362079
DO224944,QP,0.1,COSMIC_3,1
DO224944,QP,0.2,COSMIC_3,1
DO224948,QP,0,COSMIC_3,3.04E-68
DO224948,QP,0.01,COSMIC_3,0.999999999
DO224948,QP,0.05,COSMIC_3,1
DO224948,QP,0.1,COSMIC_3,1
DO224948,QP,0.2,COSMIC_3,1
DO224950,QP,0,COSMIC_3,1.67E-165
DO224950,QP,0.01,COSMIC_3,1.67E-165
DO224950,QP,0.05,COSMIC_3,1.67E-165
DO224950,QP,0.1,COSMIC_3,1.67E-165
DO224950,QP,0.2,COSMIC_3,9.65E-163
DO224955,QP,0,COSMIC_3,8.22E-121
DO224955,QP,0.01,COSMIC_3,9.80E-36
DO224955,QP,0.05,COSMIC_3,1
DO224955,QP,0.1,COSMIC_3,1
DO224955,QP,0.2,COSMIC_3,1
DO224957,QP,0,COSMIC_3,1.67E-165
DO224957,QP,0.01,COSMIC_3,1.67E-165
DO224957,QP,0.05,COSMIC_3,1.67E-165
DO224957,QP,0.1,COSMIC_3,1.67E-165
DO224957,QP,0.2,COSMIC_3,1.67E-165
DO224959,QP,0,COSMIC_3,7.33E-157
DO224959,QP,0.01,COSMIC_3,6.05E-155
DO224959,QP,0.05,COSMIC_3,0.001113085
DO224959,QP,0.1,COSMIC_3,1
DO224959,QP,0.2,COSMIC_3,1
DO224961,QP,0,COSMIC_3,1.67E-165
DO224961,QP,0.01,COSMIC_3,1.67E-165
DO224961,QP,0.05,COSMIC_3,1.67E-165
DO224961,QP,0.1,COSMIC_3,1.67E-165
DO224961,QP,0.2,COSMIC_3,1.67E-165
DO224963,QP,0,COSMIC_3,2.20E-163
DO224963,QP,0.01,COSMIC_3,1.11E-164
DO224963,QP,0.05,COSMIC_3,3.32E-129
DO224963,QP,0.1,COSMIC_3,0.824845045
DO224963,QP,0.2,COSMIC_3,1
DO224965,QP,0,COSMIC_3,1.09E-164
DO224965,QP,0.01,COSMIC_3,2.39E-165
DO224965,QP,0.05,COSMIC_3,2.99E-118
DO224965,QP,0.1,COSMIC_3,1
DO224965,QP,0.2,COSMIC_3,1
DO224967,QP,0,COSMIC_3,1.48E-155
DO224967,QP,0.01,COSMIC_3,3.04E-139
DO224967,QP,0.05,COSMIC_3,1
DO224967,QP,0.1,COSMIC_3,1
DO224967,QP,0.2,COSMIC_3,1
DO224968,QP,0,COSMIC_3,8.76E-153
DO224968,QP,0.01,COSMIC_3,6.60E-131
DO224968,QP,0.05,COSMIC_3,1
DO224968,QP,0.1,COSMIC_3,1
DO224968,QP,0.2,COSMIC_3,1
DO224971,QP,0,COSMIC_3,1.67E-165
DO224971,QP,0.01,COSMIC_3,1.67E-165
DO224971,QP,0.05,COSMIC_3,1.67E-165
DO224971,QP,0.1,COSMIC_3,1.67E-165
DO224971,QP,0.2,COSMIC_3,1.67E-165
DO224973,QP,0,COSMIC_3,1.67E-165
DO224973,QP,0.01,COSMIC_3,1.67E-165
DO224973,QP,0.05,COSMIC_3,1.67E-165
DO224973,QP,0.1,COSMIC_3,1.67E-165
DO224973,QP,0.2,COSMIC_3,1.67E-165
DO224975,QP,0,COSMIC_3,1.29E-07
DO224975,QP,0.01,COSMIC_3,1
DO224975,QP,0.05,COSMIC_3,1
DO224975,QP,0.1,COSMIC_3,1
DO224975,QP,0.2,COSMIC_3,1
DO224977,QP,0,COSMIC_3,1.67E-165
DO224977,QP,0.01,COSMIC_3,1.67E-165
DO224977,QP,0.05,COSMIC_3,1.72E-165
DO224977,QP,0.1,COSMIC_3,1.47E-159
DO224977,QP,0.2,COSMIC_3,1
DO224978,QP,0,COSMIC_3,1.27E-129
DO224978,QP,0.01,COSMIC_3,3.85E-116
DO224978,QP,0.05,COSMIC_3,4.47E-20
DO224978,QP,0.1,COSMIC_3,1
DO224978,QP,0.2,COSMIC_3,1
DO224980,QP,0,COSMIC_3,1.67E-165
DO224980,QP,0.01,COSMIC_3,1.67E-165
DO224980,QP,0.05,COSMIC_3,1.67E-165
DO224980,QP,0.1,COSMIC_3,1.67E-165
DO224980,QP,0.2,COSMIC_3,1.67E-165
DO224982,QP,0,COSMIC_3,1.67E-165
DO224982,QP,0.01,COSMIC_3,1.67E-165
DO224982,QP,0.05,COSMIC_3,1.67E-165
DO224982,QP,0.1,COSMIC_3,1.67E-165
DO224982,QP,0.2,COSMIC_3,1.67E-165
DO224985,QP,0,COSMIC_3,4.56E-155
DO224985,QP,0.01,COSMIC_3,6.00E-141
DO224985,QP,0.05,COSMIC_3,1
DO224985,QP,0.1,COSMIC_3,1
DO224985,QP,0.2,COSMIC_3,1
DO224987,QP,0,COSMIC_3,1.67E-165
DO224987,QP,0.01,COSMIC_3,1.67E-165
DO224987,QP,0.05,COSMIC_3,1.67E-165
DO224987,QP,0.1,COSMIC_3,1.67E-165
DO224987,QP,0.2,COSMIC_3,1.67E-165
DO224989,QP,0,COSMIC_3,1.67E-165
DO224989,QP,0.01,COSMIC_3,1.67E-165
DO224989,QP,0.05,COSMIC_3,1.67E-165
DO224989,QP,0.1,COSMIC_3,1.67E-165
DO224989,QP,0.2,COSMIC_3,1.67E-165
DO224990,QP,0,COSMIC_3,6.13E-161
DO224990,QP,0.01,COSMIC_3,4.86E-162
DO224990,QP,0.05,COSMIC_3,1.11E-79
DO224990,QP,0.1,COSMIC_3,1
DO224990,QP,0.2,COSMIC_3,1
DO224992,QP,0,COSMIC_3,1.18E-158
DO224992,QP,0.01,COSMIC_3,1.27E-160
DO224992,QP,0.05,COSMIC_3,1.38E-89
DO224992,QP,0.1,COSMIC_3,1
DO224992,QP,0.2,COSMIC_3,1
DO224995,QP,0,COSMIC_3,1.67E-165
DO224995,QP,0.01,COSMIC_3,1.67E-165
DO224995,QP,0.05,COSMIC_3,1.67E-165
DO224995,QP,0.1,COSMIC_3,1.67E-165
DO224995,QP,0.2,COSMIC_3,0.012139609
DO224996,QP,0,COSMIC_3,3.88E-12
DO224996,QP,0.01,COSMIC_3,1
DO224996,QP,0.05,COSMIC_3,1
DO224996,QP,0.1,COSMIC_3,1
DO224996,QP,0.2,COSMIC_3,1
DO224999,QP,0,COSMIC_3,1.67E-165
DO224999,QP,0.01,COSMIC_3,1.67E-165
DO224999,QP,0.05,COSMIC_3,1.67E-165
DO224999,QP,0.1,COSMIC_3,1.70E-165
DO224999,QP,0.2,COSMIC_3,1.58E-20
DO225001,QP,0,COSMIC_3,8.07E-105
DO225001,QP,0.01,COSMIC_3,2.83E-30
DO225001,QP,0.05,COSMIC_3,1
DO225001,QP,0.1,COSMIC_3,1
DO225001,QP,0.2,COSMIC_3,1
DO225002,QP,0,COSMIC_3,1.67E-165
DO225002,QP,0.01,COSMIC_3,1.67E-165
DO225002,QP,0.05,COSMIC_3,1.67E-165
DO225002,QP,0.1,COSMIC_3,1.67E-165
DO225002,QP,0.2,COSMIC_3,1.67E-165
DO225004,QP,0,COSMIC_3,1.67E-165
DO225004,QP,0.01,COSMIC_3,1.67E-165
DO225004,QP,0.05,COSMIC_3,1.67E-165
DO225004,QP,0.1,COSMIC_3,1.67E-165
DO225004,QP,0.2,COSMIC_3,1.67E-165
DO225005,QP,0,COSMIC_3,1.67E-165
DO225005,QP,0.01,COSMIC_3,1.67E-165
DO225005,QP,0.05,COSMIC_3,1.67E-165
DO225005,QP,0.1,COSMIC_3,1.67E-165
DO225005,QP,0.2,COSMIC_3,1.67E-165
DO225007,QP,0,COSMIC_3,7.42E-142
DO225007,QP,0.01,COSMIC_3,8.32E-125
DO225007,QP,0.05,COSMIC_3,0.990477445
DO225007,QP,0.1,COSMIC_3,1
DO225007,QP,0.2,COSMIC_3,1
DO225009,QP,0,COSMIC_3,1.67E-165
DO225009,QP,0.01,COSMIC_3,1.67E-165
DO225009,QP,0.05,COSMIC_3,1.67E-165
DO225009,QP,0.1,COSMIC_3,1.67E-165
DO225009,QP,0.2,COSMIC_3,1.67E-165
DO225012,QP,0,COSMIC_3,1.67E-165
DO225012,QP,0.01,COSMIC_3,1.67E-165
DO225012,QP,0.05,COSMIC_3,1.67E-165
DO225012,QP,0.1,COSMIC_3,1.67E-165
DO225012,QP,0.2,COSMIC_3,1.67E-165
DO225013,QP,0,COSMIC_3,1.67E-165
DO225013,QP,0.01,COSMIC_3,1.67E-165
DO225013,QP,0.05,COSMIC_3,1.67E-165
DO225013,QP,0.1,COSMIC_3,1.67E-165
DO225013,QP,0.2,COSMIC_3,1.67E-165
DO225015,QP,0,COSMIC_3,6.45E-162
DO225015,QP,0.01,COSMIC_3,6.02E-163
DO225015,QP,0.05,COSMIC_3,9.01E-54
DO225015,QP,0.1,COSMIC_3,1
DO225015,QP,0.2,COSMIC_3,1
DO225017,QP,0,COSMIC_3,1.67E-165
DO225017,QP,0.01,COSMIC_3,1.67E-165
DO225017,QP,0.05,COSMIC_3,1.67E-165
DO225017,QP,0.1,COSMIC_3,1.67E-165
DO225017,QP,0.2,COSMIC_3,1.67E-165
DO225019,QP,0,COSMIC_3,6.64E-93
DO225019,QP,0.01,COSMIC_3,0.000286281
DO225019,QP,0.05,COSMIC_3,1
DO225019,QP,0.1,COSMIC_3,1
DO225019,QP,0.2,COSMIC_3,1
DO225022,QP,0,COSMIC_3,1.10E-62
DO225022,QP,0.01,COSMIC_3,1
DO225022,QP,0.05,COSMIC_3,1
DO225022,QP,0.1,COSMIC_3,1
DO225022,QP,0.2,COSMIC_3,1
DO225023,QP,0,COSMIC_3,1.67E-165
DO225023,QP,0.01,COSMIC_3,1.67E-165
DO225023,QP,0.05,COSMIC_3,1.67E-165
DO225023,QP,0.1,COSMIC_3,1.67E-165
DO225023,QP,0.2,COSMIC_3,1.67E-165
DO225025,QP,0,COSMIC_3,7.33E-157
DO225025,QP,0.01,COSMIC_3,2.28E-158
DO225025,QP,0.05,COSMIC_3,1.84E-55
DO225025,QP,0.1,COSMIC_3,1
DO225025,QP,0.2,COSMIC_3,1
DO225028,QP,0,COSMIC_3,1.67E-165
DO225028,QP,0.01,COSMIC_3,1.67E-165
DO225028,QP,0.05,COSMIC_3,1.67E-165
DO225028,QP,0.1,COSMIC_3,1.67E-165
DO225028,QP,0.2,COSMIC_3,1.67E-165
DO225030,QP,0,COSMIC_3,1.67E-165
DO225030,QP,0.01,COSMIC_3,1.67E-165
DO225030,QP,0.05,COSMIC_3,1.67E-165
DO225030,QP,0.1,COSMIC_3,1.67E-165
DO225030,QP,0.2,COSMIC_3,1.67E-165
