sample,method,threshold,sig,p_value
DO218150,QP,0.1,COSMIC_3,1.67E-165
DO218150,QP,0.2,COSMIC_3,1.67E-165
DO218159,QP,0,COSMIC_3,1.18E-112
DO218159,QP,0.01,COSMIC_3,5.51E-36
DO218159,QP,0.05,COSMIC_3,1
DO218159,QP,0.1,COSMIC_3,1
DO218159,QP,0.2,COSMIC_3,1
DO218167,QP,0,COSMIC_3,5.12E-119
DO218167,QP,0.01,COSMIC_3,3.28E-55
DO218167,QP,0.05,COSMIC_3,1
DO218167,QP,0.1,COSMIC_3,1
DO218167,QP,0.2,COSMIC_3,1
DO218168,QP,0,COSMIC_3,0.050174123
DO218168,QP,0.01,COSMIC_3,1
DO218168,QP,0.05,COSMIC_3,1
DO218168,QP,0.1,COSMIC_3,1
DO218168,QP,0.2,COSMIC_3,1
DO218173,QP,0,COSMIC_3,0.5
DO218173,QP,0.01,COSMIC_3,1
DO218173,QP,0.05,COSMIC_3,1
DO218173,QP,0.1,COSMIC_3,1
DO218173,QP,0.2,COSMIC_3,1
DO218174,QP,0,COSMIC_3,2.72E-57
DO218174,QP,0.01,COSMIC_3,1
DO218174,QP,0.05,COSMIC_3,1
DO218174,QP,0.1,COSMIC_3,1
DO218174,QP,0.2,COSMIC_3,1
DO218176,QP,0,COSMIC_3,2.15E-05
DO218176,QP,0.01,COSMIC_3,1
DO218176,QP,0.05,COSMIC_3,1
DO218176,QP,0.1,COSMIC_3,1
DO218176,QP,0.2,COSMIC_3,1
DO218182,QP,0,COSMIC_3,1.92E-122
DO218182,QP,0.01,COSMIC_3,1.90E-69
DO218182,QP,0.05,COSMIC_3,1
DO218182,QP,0.1,COSMIC_3,1
DO218182,QP,0.2,COSMIC_3,1
DO218205,QP,0,COSMIC_3,7.48E-165
DO218205,QP,0.01,COSMIC_3,2.56E-165
DO218205,QP,0.05,COSMIC_3,6.83E-138
DO218205,QP,0.1,COSMIC_3,1
DO218205,QP,0.2,COSMIC_3,1
DO218212,QP,0,COSMIC_3,1.67E-165
DO218212,QP,0.01,COSMIC_3,1.67E-165
DO218212,QP,0.05,COSMIC_3,1.67E-165
DO218212,QP,0.1,COSMIC_3,1.67E-165
DO218212,QP,0.2,COSMIC_3,1.67E-165
DO218254,QP,0,COSMIC_3,1.67E-165
DO218254,QP,0.01,COSMIC_3,1.67E-165
DO218254,QP,0.05,COSMIC_3,1.74E-165
